University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,12_M_Gross_Pay,9_M_Gross_Pay,3_M_Gross_Pay,Fees
Southern Methodist University (SMU),Mechanical Engineering,2000,0.09,2016-2017,1st,,2000,,
Southern Methodist University (SMU),Anthropology,16000,0.74,2016-2017,1st,,16000,,
Southern Methodist University (SMU),History,20000,0.93,2015-2016,1st,20000,,,
Southern Methodist University (SMU),History,2222,0.1,2015-2016,1st,,2222,,
Southern Methodist University (SMU),Biostatistics,28000,1.3,2015-2016,1st,28000,,,
Southern Methodist University (SMU) - UTSW,Biostatistics,35000,,2019-2020,3rd,35000,,,
Springfield College,,4000,,2020-2021,,,4000,,
St John's University ,English,16000,,2017-2018,,,16000,,
St Jude Graduate School of Biomedical Sciences,PhD Biomedical Sciences,47840,,2022-2023,3rd,47840,,,
St Jude Graduate School of Biomedical Sciences,Biomedical Sciences (PhD),46000,,2021-2022,2nd,46000,,,
St. John University (SJU),Pharmaceutical Sciences,12000,,2022-2023,1st,12000,,,
St. John University (SJU),Pharmaceutical and Health Sciences,12000,,2022-2023,1st,,12000,,
St. John University (SJU),Pharmaceutical Sciences,9689,,2021-2022,2nd,,12000,,2311
St. John University (SJU),Psychology - Clinical Psychology Doctoral Program,17655,,2020-2021,4th,,16000,2000,345
St. John University (SJU),Pharmaceutical Sciences,13000,,2020-2021,,,12000,1000,
St. John University (SJU),Pharmaceutical Sciences,14550,,2020-2021,1st,,12000,3000,450
St. John University (SJU),Pharmaceutical Sciences,8500,,2020-2021,2nd,,12000,,3500
St. John University (SJU),Psychology,16000,,2019-2020,3rd,16000,,,
St. John University (SJU),English,15700,,2016-2017,1st,16000,,,300
St. John's University,Pharmaceutical Sciences,9250,,2020-2021,1st,,12000,1000,3750
St. John's University,History,13400,,2015-2016,3rd,,16000,,2600
St. Jude Children's Research Hospital,Biomedical Sciences,37050,,2019-2020,1st,37050,,,
St. Jude Graduate School of Biomedical Sciences,Biomedical Sciences PhD,41485,,2023-2024,1st,41485,,,
St. Louis University (SLU),,18000,0.87,2020-2021,,,18000,,
St. Louis University (SLU),Chemistry,23350,1.13,2020-2021,5th,24000,,,650
St. Louis University (SLU),,22900,1.11,2020-2021,,24000,,,1100
St. Louis University (SLU),Theological Studies,17400,0.84,2020-2021,4th,,18000,,600
St. Louis University (SLU),Parks College - Aerospace and Mechanical Engineering,23500,1.14,2020-2021,2nd,24000,,,500
St. Louis University (SLU),Biomedical Science,31400,1.52,2020-2021,1st,31400,,,
St. Louis University (SLU),Theology/theological studies,18000,0.87,2018-2019,5th,,18000,,
St. Louis University (SLU),Experimental Psychology,21650,1.05,2019-2020,1st,22000,,,350
St. Louis University (SLU),Philosophy,17350,0.84,2018-2019,6th and up,,18000,,650
St. Louis University (SLU),Psychology,17650,0.85,2018-2019,6th and up,,18000,,350
St. Louis University (SLU),Psychology,21500,1.04,2016-2017,2nd,22000,,,500
St. Louis University (SLU),Psychology,21500,1.04,2016-2017,1st,22000,,,500
St. Louis University (SLU),Biology,19350,0.94,2016-2017,1st,19350,,,
St. Louis University (SLU),English,18000,0.87,2016-2017,,18000,,,
Stanford,Microbiology ,37800,,2016-2017,1st,37800,,,
Stanford University (SU),Statistics,53496,1.86,2024-2025,,54800,,,1304
Stanford University (SU),Education,52500,1.83,2024-2025,1st,52500,,,
Stanford University (SU),Statistics ,53600,1.87,2024-2025,1st,53600,,,
Stanford University (SU),English,52294,1.82,2023-2024,1st,52584,,,290
Stanford University (SU),chemistry,63000,2.19,2023-2024,1st,63000,,,
Stanford University (SU),Biosciences,51600,1.8,2023-2024,1st,51600,,,
Stanford University (SU),Mechanical Engineering,51900,1.81,2023-2024,4th,53000,,,1100
Stanford University (SU),Chemical Engineering,52000,1.81,2023-2024,1st,52000,,,
Stanford University (SU),Psychology,44992,1.57,2018-2019,1st,45860,,,868
Stanford University (SU),Psychology,47604,1.66,2019-2020,2nd,48500,,,896
Stanford University (SU),Psychology,49672,1.73,2020-2021,,50600,,,928
Stanford University (SU),Psychology,48350,1.68,2021-2022,4th,49278,,,928
Stanford University (SU),Psychology,49298,1.72,2022-2023,5th,50262,,,964
Stanford University (SU),GSB,52375,1.82,2023-2024,,52375,,,
Stanford University (SU),Computer,,0,2022-2023,1st,10000,,,10000
Stanford University (SU),Electrical engineering PhD,51000,1.78,2023-2024,1st,,51000,,
Stanford University (SU),Statistics,53600,1.87,2023-2024,1st,53600,,,
Stanford University (SU),History,52375,1.82,2022-2023,1st,52375,,,
Stanford University (SU),Developmental Biology,51600,1.8,2022-2023,,51600,,,
Stanford University (SU),Earth and Planetary Sciences,51000,1.78,2022-2023,2nd,51000,,,
Stanford University (SU),Machine learning ,,0,2025-2026,1st,48000,,,48000
Stanford University (SU),Materials science and engineering ,52000,1.81,2023-2024,1st,52000,,,
Stanford University (SU),Physics,51108,1.78,2023-2024,1st,51108,,,
Stanford University (SU),Psychology,46339,1.61,2023-2024,1st,52500,,,6161
Stanford University (SU),Doerr School of Sustainability ,52000,1.81,2022-2023,1st,52000,,,
Stanford University (SU),Developmental Biology,58000,2.02,2022-2023,3rd,58000,,,
Stanford University (SU),Humanities,57116,1.99,2023-2024,1st,57116,,,
Stanford University (SU),,54000,1.88,2023-2024,1st,54000,,,
Stanford University (SU),Music,50247,1.75,2023-2024,1st,51000,,,753
Stanford University (SU),Applied physics,52920,1.84,2022-2023,1st,52920,,,
Stanford University (SU),Biochemistry,50000,1.74,2022-2023,4th,50000,,,
Stanford University (SU),Graduate School of Education ,48000,1.67,2022-2023,1st,48000,,,
Stanford University (SU),Anthropology,50616,1.76,2023-2024,1st,50616,,,
Stanford University (SU),Physics,51000,1.78,2022-2023,1st,51000,,,
Stanford University (SU),Biomedical Informatics,51600,1.8,2023-2024,1st,51600,,,
Stanford University (SU),Physics,52000,1.81,2023-2024,1st,52000,,,
Stanford University (SU),Management science and engineering ,52000,1.81,2022-2023,2nd,52000,,,
Stanford University (SU),humanities,50000,1.74,2023-2024,1st,50000,,,
Stanford University (SU),Biology,48,0,2022-2023,1st,48,,,
Stanford University (SU),Chemistry ,48000,1.67,2022-2023,3rd,48000,,,
Stanford University (SU),Bioengineering ,50000,1.74,2022-2023,2nd,50000,,,
Stanford University (SU),Geological Science,51000,1.78,2022-2023,1st,52000,,,1000
Stanford University (SU),Civil Engineering,48000,1.67,2022-2023,1st,48000,,,
Stanford University (SU),Stem Cell Biology ,40000,1.39,2021-2022,5th,40000,,,
Stanford University (SU),Classics,47280,1.65,2021-2022,1st,47280,,,
Stanford University (SU),Education,40000,1.39,2020-2021,5th,,34000,10000,4000
Stanford University (SU),Genetics,48216,1.68,2022-2023,1st,48216,,,
Stanford University (SU),Organizational Behavior,48800,1.7,2022-2023,1st,48800,,,
Stanford University (SU),Genetics,45792,1.59,2020-2021,5th,45792,,,
Stanford University (SU),Electrical Engineering,50200,1.75,2021-2022,1st,50200,,,
Stanford University (SU),Neurosciences,48216,1.68,2022-2023,1st,48216,,,
Stanford University (SU),Genetics,47280,1.65,2020-2021,3rd,47280,,,
Stanford University (SU),Psychology,47000,1.64,2020-2021,1st,48500,,,1500
Stanford University (SU),Psychology,37000,1.29,2015-2016,,37000,,,
Stanford University (SU),Psychology,46000,1.6,2020-2021,,46000,,,
Stanford University (SU),computer science,45700,1.59,2020-2021,2nd,46000,,,300
Stanford University (SU),Political Science,51679,1.8,2022-2023,1st,51679,,,
Stanford University (SU),Mechanical engineering,48000,1.67,2020-2021,3rd,48000,,,
Stanford University (SU),Economics/PhD,47000,1.64,2022-2023,1st,47000,,,
Stanford University (SU),Bioengineering,46000,1.6,2020-2021,6th and up,46000,,,
Stanford University (SU),MSTP,43200,1.5,2020-2021,1st,48200,,,5000
Stanford University (SU),CEE,42150,1.47,2020-2021,3rd,42700,,,550
Stanford University (SU),Computer Science,56908,1.98,2021-2022,1st,,35568,21340,
Stanford University (SU),Computer Science,44000,1.53,2021-2022,3rd,44000,,,
Stanford University (SU),Bioengineering,48000,1.67,2021-2022,1st,48000,,,
Stanford University (SU),Theater and Performance Studies,47280,1.65,2021-2022,2nd,47280,,,
Stanford University (SU),Engineering,49600,1.73,2020-2021,1st,49600,,,
Stanford University (SU),Material science ,49640,1.73,2020-2021,1st,49640,,,
Stanford University (SU),Chemical engineering ,48000,1.67,2021-2022,,48000,,,
Stanford University (SU),Education ,495000,17.23,2021-2022,1st,495000,,,
Stanford University (SU),Education ,495000,17.23,2021-2022,1st,495000,,,
Stanford University (SU),Chemistry,48132,1.68,2021-2022,1st,48132,,,
Stanford University (SU),GSB Economics,46000,1.6,2020-2021,4th,46000,,,
Stanford University (SU),Physics,41000,1.43,2020-2021,,46000,,,5000
Stanford University (SU),Geological Sciences,50220,1.75,2021-2022,1st,50220,,,
Stanford University (SU),Mathematics,47280,1.65,2021-2022,1st,47280,,,
Stanford University (SU),civil engineering,,0,2020-2021,,30000,,,30000
Stanford University (SU),Chemical Engineering,47000,1.64,2021-2022,1st,48000,,,1000
Stanford University (SU),Sociology,43000,1.5,2020-2021,1st,43000,,,
Stanford University (SU),Sociology,30500,1.06,2020-2021,1st,30500,,,
Stanford University (SU),Sociology,43000,1.5,2020-2021,1st,43000,,,
Stanford University (SU),Sociology,43000,1.5,2020-2021,1st,43000,,,
Stanford University (SU),Management science and engineering,32550,1.13,2020-2021,1st,,35550,,3000
Stanford University (SU),GSB,45800,1.59,2020-2021,1st,45800,,,
Stanford University (SU),Theater & Performance Studies,45792,1.59,2021-2022,2nd,45792,,,
Stanford University (SU),Chemistry,48500,1.69,2020-2021,1st,50000,,,1500
Stanford University (SU),MSE,45888,1.6,2020-2021,2nd,45888,,,
Stanford University (SU),History,41344,1.44,2020-2021,1st,,34344,7000,
Stanford University (SU),,46200,1.61,2020-2021,1st,46200,,,
Stanford University (SU),Center for East Asian Studies,18000,0.63,2020-2021,2nd,,15000,3500,500
Stanford University (SU),History,40800,1.42,2020-2021,1st,,33800,7000,
Stanford University (SU),,50000,1.74,2020-2021,1st,50000,,,
Stanford University (SU),,45600,1.59,2019-2020,,45600,,,
Stanford University (SU),Geophysics,48636,1.69,2020-2021,1st,48636,,,
Stanford University (SU),Civil and Environmental Engineering,43228,1.5,2019-2020,3rd,46696,,,3468
Stanford University (SU),Chemistry,45000,1.57,2020-2021,,45000,,,
Stanford University (SU),Theater and Performance Studies,36300,1.26,2020-2021,1st,36300,,,
Stanford University (SU),Physics,48100,1.67,2020-2021,1st,48100,,,
Stanford University (SU),Materials Science and Engineering,43000,1.5,2020-2021,1st,43000,,,
Stanford University (SU),Materials Science and Engineering,47200,1.64,2020-2021,1st,47200,,,
Stanford University (SU),Biosciences,46000,1.6,2020-2021,1st,46000,,,
Stanford University (SU),Biosciences/Genetics,45792,1.59,2020-2021,1st,45792,,,
Stanford University (SU),Chemistry,44000,1.53,2020-2021,5th,44000,,,
Stanford University (SU),History,40800,1.42,2020-2021,,,33800,7000,
Stanford University (SU),Bioengineering,43404,1.51,2020-2021,1st,46200,,,2796
Stanford University (SU),GSB,42000,1.46,2018-2019,3rd,42000,,,
Stanford University (SU),Graduate School of Business,44000,1.53,2018-2019,4th,44000,,,
Stanford University (SU),Neurology,68000,2.37,2018-2019,4th,68000,,,
Stanford University (SU),Biology,44100,1.54,2019-2020,1st,44500,,,400
Stanford University (SU),History/PhD,36800,1.28,2018-2019,5th,,30000,7000,200
Stanford University (SU),GSB Finance,45000,1.57,2019-2020,2nd,45000,,,
Stanford University (SU),Chemical Engineering ,39500,1.38,2019-2020,2nd,42000,,,2500
Stanford University (SU),Psychology,51900,1.81,2018-2019,5th,53000,,,1100
Stanford University (SU),Biosciences,40800,1.42,2018-2019,1st,43800,,,3000
Stanford University (SU),Biology ,44270,1.54,2018-2019,4th,44270,,,
Stanford University (SU),Stem cell biology,44000,1.53,2018-2019,5th,44000,,,
Stanford University (SU),Geological Sciences,45200,1.57,2019-2020,5th,46000,,,800
Stanford University (SU),Immunology,46000,1.6,2019-2020,4th,46000,,,
Stanford University (SU),,41000,1.43,2019-2020,1st,41000,,,
Stanford University (SU),Statistics,43000,1.5,2019-2020,1st,43000,,,
Stanford University (SU),Physics,40476,1.41,2019-2020,1st,87040,,,46564
Stanford University (SU),Biology,34000,1.18,2015-2016,,34000,,,
Stanford University (SU),East Asian Languages and Cultures,39842,1.39,2019-2020,4th,,32868,8000,1026
Stanford University (SU),Civil and Environmental Engineering,43556,1.52,2018-2019,6th and up,,32868,10956,268
Stanford University (SU),Biophysics,26839,0.93,2019-2020,1st,43824,,,16985
Stanford University (SU),Chemistry,39200,1.36,2018-2019,6th and up,40000,,,800
Stanford University (SU),Civil and Environmental Enineering,42000,1.46,2019-2020,1st,44000,,,2000
Stanford University (SU),Linguistics,42180,1.47,2019-2020,1st,42180,,,
Stanford University (SU),mechanical engineering,43000,1.5,2018-2019,2nd,44000,,,1000
Stanford University (SU),Business School,34000,1.18,2018-2019,4th,35000,,,1000
Stanford University (SU),Chemistry,40500,1.41,2018-2019,1st,41500,,,1000
Stanford University (SU),Neurosciences,42000,1.46,2018-2019,2nd,43000,,,1000
Stanford University (SU),Genetics,39700,1.38,2018-2019,1st,40500,,,800
Stanford University (SU),Civil engineering,40500,1.41,2018-2019,1st,40500,,,
Stanford University (SU),Biology ,45000,1.57,2019-2020,,45000,,,
Stanford University (SU),Biology,38132,1.33,2018-2019,3rd,39000,,,868
Stanford University (SU),Biophysics,43824,1.53,2019-2020,1st,43824,,,
Stanford University (SU),Bioengineering,41396,1.44,2019-2020,1st,44000,,,2604
Stanford University (SU),Biology,44750,1.56,2019-2020,1st,44750,,,
Stanford University (SU),Economics ,41000,1.43,2019-2020,1st,41000,,,
Stanford University (SU),Earth Energy & Environmental Systems,46000,1.6,2019-2020,1st,46000,,,
Stanford University (SU),Earth System Science,47000,1.64,2019-2020,1st,47000,,,
Stanford University (SU),Civil and Environmental Engineering,41004,1.43,2018-2019,2nd,42048,,,1044
Stanford University (SU),Education,44846,1.56,2019-2020,1st,44846,,,
Stanford University (SU),Sociology,37772,1.31,2018-2019,1st,,30438,8117,783
Stanford University (SU),Immunology,43360,1.51,2018-2019,3rd,43360,,,
Stanford University (SU),Cancer Biology,39000,1.36,2018-2019,2nd,39000,,,
Stanford University (SU),Physics,37830,1.32,2017-2018,2nd,37830,,,
Stanford University (SU),,16000,0.56,2018-2019,,39000,,,23000
Stanford University (SU),Political Science,40350,1.4,2018-2019,1st,,34350,6000,
Stanford University (SU),,40000,1.39,2016-2017,,40000,,,
Stanford University (SU),N/A,40000,1.39,2017-2018,1st,40000,,,
Stanford University (SU),Applied Physics,39420,1.37,2017-2018,5th,40152,,,732
Stanford University (SU),Economics,38600,1.34,2016-2017,1st,38600,,,
Stanford University (SU),Earth System Science,37000,1.29,2015-2016,5th,37000,,,
Stanford University (SU),Psychology,38308,1.33,2017-2018,2nd,38308,,,
Stanford University (SU),GSB Economic Analysis and Policy,31000,1.08,2017-2018,4th,31000,,,
Stanford University (SU),Anthropology,35000,1.22,2017-2018,3rd,35000,,,
Stanford University (SU),Theater and Performance Studies,32800,1.14,2016-2017,2nd,33000,,,200
Stanford University (SU),Bioengineering,41700,1.45,2017-2018,2nd,41700,,,
Stanford University (SU),Chemistry,38462,1.34,2017-2018,1st,39444,,,982
Stanford University (SU),chemistry,5000,0.17,2016-2017,,30000,,,25000
Stanford University (SU),Biology,41900,1.46,2016-2017,1st,41900,,,
Stanford University (SU),Applied Physics,35563,1.24,2016-2017,6th and up,38940,,,3377
Stanford University (SU),Electrical Engineering,40000,1.39,2016-2017,3rd,40000,,,
Stanford University (SU),Chemical Biology,35700,1.24,2016-2017,1st,41700,,,6000
Stanford University (SU),,35280,1.23,2017-2018,1st,40280,,,5000
Stanford University (SU),Education,1460,0.05,2016-2017,1st,40280,,,38820
Stanford University (SU),Sociology,37500,1.31,2016-2017,1st,37500,,,
Stanford University (SU),Artificial intelligence,39000,1.36,2016-2017,,40000,,,1000
Stanford University (SU),,38000,1.32,2016-2017,1st,,29000,9000,
Stanford University (SU),Materials Science and Engineering,44300,1.54,2016-2017,1st,44300,,,
Stanford University (SU),Materials Science and Engineering,33000,1.15,2016-2017,1st,33000,,,
Stanford University (SU),Materials Science and Engineering,38800,1.35,2016-2017,1st,38800,,,
Stanford University (SU),Anthropology,,0,2016-2017,1st,,,,
Stanford University (SU),biotech,20000,0.7,2016-2017,1st,20000,,,
Stanford University (SU),,36000,1.25,2016-2017,3rd,36000,,,
Stanford University (SU),Biosciences,42000,1.46,2016-2017,1st,42000,,,
Stanford University (SU),Materials Science and Engineering,40280,1.4,2016-2017,1st,40280,,,
Stanford University (SU),Bioengineering,37904,1.32,2016-2017,1st,37904,,,
Stanford University (SU),Education,30000,1.04,2016-2017,,30000,,,
Stanford University (SU),Psychology,37000,1.29,2016-2017,1st,37000,,,
Stanford University (SU),Biosciences,37125,1.29,2016-2017,1st,37125,,,
Stanford University (SU),Chemistry,37836,1.32,2016-2017,,37836,,,
Stanford University (SU),Finance,40000,1.39,2016-2017,1st,40000,,,
Stanford University (SU),Linguistics,38150,1.53,2014-2015,1st,38150,,,
Stanford University (SU),Religious Studies,34864,1.21,2016-2017,1st,,27864,7000,
Stanford University (SU),Materials Science and Engineering,35000,1.22,2016-2017,1st,35000,,,
Stanford University (SU),Plant Biology,32000,1.11,2016-2017,,32000,,,
Stanford University (SU),Geological Sciences,36000,1.25,2016-2017,2nd,36000,,,
Stanford University (SU),Biosciences (PhD),34168,1.37,2014-2015,1st,34168,,,
Stanford University (SU),Electrical Engineering,32000,1.28,2014-2015,2nd,32000,,,
Stanford University (SU),Biosciences,39000,1.56,2014-2015,3rd,39000,,,
Stanford University (SU),Computer Science,44528,1.55,2015-2016,1st,,27324,17204,
Stanford University (SU),Computational and Mathematical Engineering,37500,1.5,2014-2015,,37500,,,
Stanford University (SU),Sociology ,34000,1.36,2014-2015,5th,34000,,,
Stanford University (SU),Biosciences,33000,1.32,2014-2015,2nd,33000,,,
Stanford University (SU),Biomedical Informatics,34000,1.36,2014-2015,4th,34000,,,
Stanford University (SU),Classics,33000,1.32,2014-2015,1st,,28000,5000,
Stanford University (SU),Mechanical Engineering,35000,1.4,2013-2014,5th,35000,,,
Stanford University (SU),Economics,37000,1.48,2014-2015,1st,37000,,,
Stanford University (SU),Aeronautics & Astronautics,32000,1.28,2014-2015,2nd,32000,,,
Stanford University (SU),Mechanical Engineering,32000,1.28,2006-2007,1st,32000,,,
Stanford University (SU),Psychology,33200,1.33,2014-2015,5th,34000,,,800
Stanford University (SU),Cancer Biology,34168,1.37,2014-2015,2nd,34168,,,
Stanford University (SU),Mechanical Engineering,28350,1.13,2009-2010,,30000,,,1650
Stanford University (SU),Materials Science and Engineering,29000,1.16,2009-2010,1st,31000,,,2000
Stanford University (SU),Materials Science and Engineering,28000,1.12,2007-2008,1st,30000,,,2000
Stanford University (SU),Graduate School of Education,24000,0.96,2013-2014,4th,24000,,,
Stevens Institute of Technology,Ocean Engineering,35200,1.32,2023-2024,2nd,,27200,8000,
Stevens Institute of Technology,Financial Engineering,36124,1.36,2023-2024,1st,,29556,6568,
Stevens Institute of Technology,mechanical engineering,25960,0.97,2023-2024,5th,,25990,8400,60350
Stevens Institute of Technology,,34908,1.31,2022-2023,4th,36408,,,1500
Stevens Institute of Technology,Biomedical Engineering,23000,0.86,2022-2023,1st,30000,,,7000
Stevens Institute of Technology,Computer Science,25944,0.97,2022-2023,1st,,25944,,
Stevens Institute of Technology,business,30500,1.15,2020-2021,2nd,30500,,,
Stevens Institute of Technology,Environmental Engineering,24250,0.91,2021-2022,1st,,25000,,750
Stevens Institute of Technology,Computer Science,23,0,2020-2021,1st,,23,,
Stevens Institute of Technology,Computer Science,33000,1.24,2019-2020,1st,,24000,12000,3000
Stevens Institute of Technology,School of Systems and Enterprises,24647,0.93,2019-2020,1st,,24647,,
Stevens Institute of Technology,mechanical engineering,25228,0.95,2019-2020,1st,25228,,,
Stevens Institute of Technology,ECE,22000,0.83,2016-2017,2nd,,23000,,1000
Stevens Institute of Technology,Electrical,29000,1.09,2016-2017,2nd,,24750,5250,1000
Stoneybrook university ,Biology ,36000,,2024-2025,1st,36000,,,
Stony Brook University,Political Science,20500,,2016-2017,,,18000,2500,
Stony Brook University,Political Science,20500,,2016-2017,,,18000,2500,
Stony Brook University,Political Science,20500,,2016-2017,,,18000,2500,
Stony Brook University - SUNY,Materials Science & Engineering,37000,1.32,2024-2025,,37000,,,
Stony Brook University - SUNY,Geology,33000,1.18,2024-2025,1st,33000,,,
Stony Brook University - SUNY,Civil Engineering,30957,1.11,2024-2025,4th,32157,,,1200
Stony Brook University - SUNY,Materials Science & Chemical Engineering,34000,1.22,2024-2025,1st,34000,,,
Stony Brook University - SUNY,Chemistry,36800,1.32,2024-2025,2nd,37000,,,200
Stony Brook University - SUNY,Computer Science,49000,1.75,2024-2025,1st,49000,,,
Stony Brook University - SUNY,Marine and Atmospheric Sciences,32000,1.15,2023-2024,4th,32000,,,
Stony Brook University - SUNY,Physics and Astronomy,33000,1.18,2023-2024,1st,33000,,,
Stony Brook University - SUNY,Computer Science,32164,1.15,2018-2019,1st,34360,,,2196
Stony Brook University - SUNY,Chemical Engineering,34000,1.22,2023-2024,1st,34000,,,
Stony Brook University - SUNY,Computer Science PhD,34462,1.23,2023-2024,1st,34462,,,
Stony Brook University - SUNY,Mathematics,22600,0.81,2022-2023,1st,,23000,,400
Stony Brook University - SUNY,Hispanic Languages and Literature,26000,0.93,2023-2024,1st,,26000,,
Stony Brook University - SUNY,History,22962,0.82,2022-2023,1st,,22962,,
Stony Brook University - SUNY,Political science ,22955,0.82,2022-2023,1st,,23000,,45
Stony Brook University - SUNY,Political science ,24962,0.89,2023-2024,1st,24962,,,
Stony Brook University - SUNY,Clinical Psychology,24500,0.88,2022-2023,1st,24500,,,
Stony Brook University - SUNY,Sociology ,22000,0.79,2022-2023,1st,,22000,,
Stony Brook University - SUNY,Sociology ,22455,0.8,2022-2023,3rd,,22500,,45
Stony Brook University - SUNY,Physics & Astronomy,30315,1.09,2022-2023,1st,30500,,,185
Stony Brook University - SUNY,Music,22500,0.81,2022-2023,3rd,,22500,,
Stony Brook University - SUNY,Molecular and Cellular Biology ,30000,1.07,2022-2023,5th,30000,,,
Stony Brook University - SUNY,Psychology,22500,0.81,2022-2023,1st,,22500,,
Stony Brook University - SUNY,Biochemistry and Structural Biology,31000,1.11,2022-2023,1st,,22000,9000,
Stony Brook University - SUNY,Civil Engineering ,32500,1.16,2022-2023,1st,32500,,,
Stony Brook University - SUNY,Computer Science,25600,0.92,2020-2021,5th,,26000,,400
Stony Brook University - SUNY,Mechanical Engineering,5830,0.21,2022-2023,1st,23810,,,17980
Stony Brook University - SUNY,SoMaS,31455,1.13,2022-2023,1st,31455,,,
Stony Brook University - SUNY,Ecology and Evolution,22100,0.79,2020-2021,1st,,22500,,400
Stony Brook University - SUNY,Physics,24000,0.86,2021-2022,1st,,24000,,
Stony Brook University - SUNY,Computer Science,37750,1.35,2021-2022,1st,,22500,16000,750
Stony Brook University - SUNY,Computer Science,37700,1.35,2021-2022,1st,38500,,,800
Stony Brook University - SUNY,Genetics,41000,1.47,2022-2023,1st,41000,,,
Stony Brook University - SUNY,Political science,26600,0.95,2020-2021,4th,27000,,,400
Stony Brook University - SUNY,,33000,1.18,2022-2023,1st,,33000,,
Stony Brook University - SUNY,Clinical psychology,22350,0.8,2020-2021,4th,22500,,,150
Stony Brook University - SUNY,Psychology,25000,0.9,2022-2023,4th,,22500,2500,
Stony Brook University - SUNY,Computer Science,38300,1.37,2022-2023,1st,38500,,,200
Stony Brook University - SUNY,Geosciences,33400,1.2,2021-2022,3rd,33500,,,100
Stony Brook University - SUNY,Computer,32600,1.17,2021-2022,,33000,,,400
Stony Brook University - SUNY,neuroscience,30000,1.07,2021-2022,1st,30000,,,
Stony Brook University - SUNY,neuroscience,30000,1.07,2021-2022,1st,30000,,,
Stony Brook University - SUNY,Ecology & Evolution,22500,0.81,2022-2023,1st,,22500,,
Stony Brook University - SUNY,Physics,29910,1.07,2020-2021,4th,30000,,,90
Stony Brook University - SUNY,Mathematics,25000,0.9,2020-2021,3rd,25200,,,200
Stony Brook University - SUNY,Computer Science,32460,1.16,2018-2019,1st,34360,,,1900
Stony Brook University - SUNY,Computer Science,32460,1.16,2018-2019,1st,34360,,,1900
Stony Brook University - SUNY,Computer Science,28000,1,2019-2020,3rd,30000,,,2000
Stony Brook University - SUNY,Computer Science,28000,1,2019-2020,3rd,30000,,,2000
Stony Brook University - SUNY,Computer Science,28000,1,2019-2020,3rd,30000,,,2000
Stony Brook University - SUNY,Computer Science,29688,1.06,2020-2021,3rd,31000,,,1312
Stony Brook University - SUNY,Molecular and Cellular Biology,17500,0.63,2020-2021,,,17500,,
Stony Brook University - SUNY,Psychology,28955,1.04,2020-2021,1st,,26000,3000,45
Stony Brook University - SUNY,Physics and Astronomy,28000,1,2020-2021,1st,28000,,,
Stony Brook University - SUNY,Marine and Atmospheric Science,36000,1.29,2021-2022,1st,36000,,,
Stony Brook University - SUNY,Chemistry,31200,1.12,2021-2022,1st,31200,,,
Stony Brook University - SUNY,Computer Science,28688,1.03,2020-2021,3rd,30000,,,1312
Stony Brook University - SUNY,Computer Science,30000,1.07,2020-2021,1st,,20000,10000,
Stony Brook University - SUNY,Chemistry,28200,1.01,2020-2021,,30000,,,1800
Stony Brook University - SUNY,Chemistry,29800,1.07,2020-2021,,31000,,,1200
Stony Brook University - SUNY,Chemistry,28600,1.02,2020-2021,1st,30600,,,2000
Stony Brook University - SUNY,gender studies ,11000,0.39,2020-2021,1st,4000,,,15000
Stony Brook University - SUNY,biomedical engineering ,27000,0.97,2020-2021,,,29000,,2000
Stony Brook University - SUNY,Chemistry,34600,1.24,2020-2021,1st,,34600,,
Stony Brook University - SUNY,English,25200,0.9,2020-2021,3rd,,21200,4000,
Stony Brook University - SUNY,Civil Engineering,24000,0.86,2020-2021,1st,24000,,,
Stony Brook University - SUNY,Computer Science,20000,0.72,2020-2021,1st,20000,,,
Stony Brook University - SUNY,Computer Science,28200,1.01,2020-2021,1st,,20000,10000,1800
Stony Brook University - SUNY,Computer Science,17500,0.63,2020-2021,1st,,20000,,2500
Stony Brook University - SUNY,Ecology and Evolution,18600,0.67,2020-2021,,,20000,,1400
Stony Brook University - SUNY,Clinical Psychology,23000,0.82,2020-2021,1st,23000,,,
Stony Brook University - SUNY,Computer Science,30000,1.07,2020-2021,1st,,20000,10000,
Stony Brook University - SUNY,Electrical engineering ,18100,0.65,2020-2021,1st,20000,,,1900
Stony Brook University - SUNY,Music,20000,0.72,2018-2019,3rd,,20000,,
Stony Brook University - SUNY,Psychology/Clinical,21920,0.78,2019-2020,2nd,,20000,3500,1580
Stony Brook University - SUNY,Genetics ,34400,1.23,2019-2020,4th,35000,,,600
Stony Brook University - SUNY,IDPAS,20000,0.72,2018-2019,5th,,20000,,
Stony Brook University - SUNY,Biomedical Engineering,27000,0.97,2019-2020,2nd,29000,,,2000
Stony Brook University - SUNY,Materials Science and Chemical Engineering,19436,0.7,2018-2019,2nd,20307,,,871
Stony Brook University - SUNY,Computer Science,28000,1,2018-2019,1st,,20000,10000,2000
Stony Brook University - SUNY,,27600,0.99,2018-2019,2nd,29000,,,1400
Stony Brook University - SUNY,Biomedical Engineering,27200,0.97,2018-2019,1st,29000,,,1800
Stony Brook University - SUNY,Physics and Astronomy,30445,1.09,2017-2018,,31899,,,1454
Stony Brook University - SUNY,Biochemistry and Structural Biology,28800,1.03,2018-2019,4th,29500,,,700
Stony Brook University - SUNY,Chemistry,28100,1.01,2019-2020,1st,30000,,,1900
Stony Brook University - SUNY,Math,20600,0.74,2018-2019,,22500,,,1900
